Record_ID,Financial_Year,Date_of_Fund_Release,State,District,Department,Scheme_Name,Scheme_Code,Fund_Source,Implementing_Agency,Sanctioned_Amount_Lakhs,Fund_Released_Lakhs,Fund_Utilized_Lakhs,Utilization_Percent,Physical_Target_Units,Physical_Achievement_Units,Beneficiaries_Target,Beneficiaries_Covered,Status,Audit_Remarks,Nodal_Officer_Contact
GFU00643,2022-23,2021-08-25,West Bengal,Siliguri ,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,PMKISAN,Central Sector,Gram Panchayat,588.66,517.65,212.25,41.0,427,38.0,4138,344.0,Delayed,Awaiting third-party audit clearance,Sunita Yadav - District Collector Office - sunita.yadav@nic.in
GFU00763,2021-22,2023-04-16,Tamil Nadu,Salem,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,PMFBY,Central Sector,State Nodal Agency,88.56,44.61,27.25,61.08,367,104.0,4988,1373.0,Delayed,Material procurement in progress,Rakesh Yadav - Block Development Officer - rakesh.yadav@nic.in
GFU00910,2023-24,2023-01-31,Kerala,Thiruvananthapuram,Ministry of Health & Family Welfare,National Health Mission,NHM,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,764.59,634.28,,,6,5.0,2151,1621.0,Delayed,Utilization certificate submitted and verified,Rakesh Reddy - District Collector Office - rakesh.reddy@nic.in
GFU00200,2023-24,2024-08-29,West Bengal,Asansol,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),PMPOSHAN,Centrally Sponsored (60:40),NGO / Partner Organisation,262.37,247.44,147.35,59.55,55,3.0,4122,213.0,Ongoing,Fund utilization certificate pending,Anjali Sharma - Assistant Engineer - anjali.sharma@nic.in
GFU00587,2021-22,2021-06-21,Karnataka,Belagavi,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,PMAY-G,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,731.94,593.82,451.45,76.02,406,337.0,2984,2565.0,Delayed,Fund utilization certificate pending,Kavita Das - Scheme Nodal Officer - kavita.das@nic.in
GFU00798,2024-25,2021-11-06,Tamil Nadu, Madurai,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,PMKISAN,Central Sector,State Nodal Agency,367.78,362.65,304.41,83.94,462,187.0,1779,730.0,Delayed,  Fund utilization certificate pending  ,Manoj Mishra - Scheme Nodal Officer - manoj.mishra@nic.in
GFU00653,2022-23,2023-09-12,Kerala,kozhikode,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),PMPOSHAN,Centrally Sponsored (60:40),NGO / Partner Organisation,698.04,623.38,552.95,88.7,432,431.0,604,562.0,Completed,Utilization certificate submitted and verified,Ashok Reddy - Block Development Officer - ashok.reddy@nic.in
GFU00756,2023-24,2024-01-04,West Bengal,Durgapur,Ministry of Health & Family Welfare,National Health Mission,NHM,Centrally Sponsored (60:40),Gram Panchayat,46.62,45.85,35.3,76.99,221,132.0,2404,1473.0,Ongoing,Awaiting third-party audit clearance,Anjali Reddy - District Collector Office - anjali.reddy@nic.in
GFU00417,2021-22,2022-04-27,Gujarat,Bhavnagar,Ministry of Education,Samagra Shiksha Abhiyan,SS,Centrally Sponsored (60:40),State Nodal Agency,136.61,127.16,105.9,83.28,407,405.0,631,565.0,Ongoing,Beneficiary list under revision,Sunita Das - Assistant Engineer - sunita.das@nic.in
GFU00499,2021-22,2023-03-08,Tamil Nadu,Salem,Ministry of Jal Shakti,Jal Jeevan Mission,JJM,Centrally Sponsored (90:10),NGO / Partner Organisation,198.66,179.7,175.81,97.84,58,58.0,4298,4167.0,Completed,Beneficiary list under revision,Ramesh Singh - District Programme Coordinator - ramesh.singh@nic.in
GFU00515,2023-24,2023-08-17,Tamil Nadu,Salem,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,PMKISAN,Central Sector,State Nodal Agency,592.29,479.4,454.3,94.76,83,82.0,2455,2227.0,Completed,Material procurement in progress,Rakesh Yadav - Scheme Nodal Officer - rakesh.yadav@nic.in
